DES,DUK,STK,SMART,,,,,BOT|2/17/2011|2|+NRB|+NRB
DES,JAH,STK,SMART,,,,,BOT|2/17/2011|2|+NRB|+NRB
DES,TRW,STK,SMART,,,,,BOT|2/17/2011|2|+NRB|+NRB
DES,SJM,STK,SMART,,,,,BOT|2/17/2011|3|+NRB|+NRB
DES,RBCN,STK,SMART,,,,,BOT|2/17/2011|3|+NRB|+NRB
DES,IO,STK,SMART,,,,,BOT|2/17/2011|3|+NRB|+NRB
DES,WMB,STK,SMART,,,,,BOT|2/17/2011|3|+NRB|+NRB
DES,CLF,STK,SMART,,,,,BOT|2/17/2011|3|+NRB|+NRB
DES,ANAD,STK,SMART,,,,,SLD|2/17/2011|2|+NRB|+NRB
DES,NTAP,STK,SMART,,,,,SLD|2/17/2011|3|+NRB|+NRB
DES,NVDA,STK,SMART,,,,,SLD|2/17/2011|3|+NRB|+NRB
DES,SKX,STK,SMART,,,,,SLD|2/17/2011|3|+NRB|+NRB
DES,ITRI,STK,SMART,,,,,SLD|2/17/2011|3|+NRB|+NRB
DES,BRCD,STK,SMART,,,,,BOT|2/18/2011|3|+NRB|+DD
DES,AGP,STK,SMART,,,,,BOT|2/18/2011|3|+NRB|+DD
DES,YGE,STK,SMART,,,,,BOT|2/18/2011|3|+NRB|+DD
DES,SHO,STK,SMART,,,,,BOT|2/18/2011|3|+NRB|+DD
DES,CPB,STK,SMART,,,,,SLD|2/18/2011|1|+NRB|+DD
DES,BCSI,STK,SMART,,,,,SLD|2/18/2011|2|+NRB|+DD
DES,BMRN,STK,SMART,,,,,SLD|2/18/2011|2|+NRB|+DD
DES,CHK,STK,SMART,,,,,BOT|2/22/2011|2|+NRB|-WRB
DES,TSL,STK,SMART,,,,,BOT|2/22/2011|3|+NRB|-WRB
DES,WMT,STK,SMART,,,,,SLD|2/22/2011|3|+NRB|-WRB
DES,RCL,STK,SMART,,,,,SLD|2/22/2011|3|+NRB|-WRB
DES,CCL,STK,SMART,,,,,SLD|2/22/2011|3|+NRB|-WRB
DES,CHS,STK,SMART,,,,,BOT|2/23/2011|2|+NRB|-NRBBT
DES,VRTX,STK,SMART,,,,,BOT|2/23/2011|2|+NRB|-NRBBT
DES,ZLC,STK,SMART,,,,,BOT|2/23/2011|2|+NRB|-NRBBT
DES,DTV,STK,SMART,,,,,BOT|2/23/2011|3|+NRB|-NRBBT
DES,KKR,STK,SMART,,,,,BOT|2/23/2011|3|+NRB|-NRBBT
DES,TJX,STK,SMART,,,,,SLD|2/23/2011|2|+NRB|-NRBBT
DES,SATC,STK,SMART,,,,,SLD|2/23/2011|2|+NRB|-NRBBT
DES,HPQ,STK,SMART,,,,,SLD|2/23/2011|2|+NRB|-NRBBT
DES,FTR,STK,SMART,,,,,SLD|2/23/2011|3|+NRB|-NRBBT
DES,FLR,STK,SMART,,,,,SLD|2/23/2011|3|+NRB|-NRBBT
DES,PWR,STK,SMART,,,,,SLD|2/23/2011|3|+NRB|-NRBBT
DES,PCLN,STK,SMART,,,,,BOT|2/24/2011|2|+NRB|+NRBBT
DES,MTZ,STK,SMART,,,,,BOT|2/24/2011|2|+NRB|+NRBBT
DES,NTES,STK,SMART,,,,,BOT|2/24/2011|2|+NRB|+NRBBT
DES,NIHD,STK,SMART,,,,,BOT|2/24/2011|3|+NRB|+NRBBT
DES,HERO,STK,SMART,,,,,BOT|2/24/2011|3|+NRB|+NRBBT
DES,KOG,STK,SMART,,,,,BOT|2/24/2011|3|+NRB|+NRBBT
