DES,CHK,STK,SMART,,,,,BOT|01/03/2012|3|+NRB|+NRB|+WRB
DES,RMBS,STK,SMART,,,,,BOT|01/03/2012|3|+NRB|+NRB|+WRB
DES,MO,STK,SMART,,,,,SLD|01/03/2012|3|+NRB|+NRB|+WRB
DES,MCHP,STK,SMART,,,,,SLD|01/03/2012|3|+NRB|+NRB|+WRB
DES,TIVO,STK,SMART,,,,,BOT|01/04/2012|3|-NRB|+NRB|-NRB
DES,LULU,STK,SMART,,,,,BOT|01/04/2012|3|-NRB|+NRB|-NRB
DES,APKT,STK,SMART,,,,,SLD|01/04/2012|3|-NRB|+NRB|-NRB
DES,AMRN,STK,SMART,,,,,SLD|01/04/2012|3|-NRB|+NRB|-NRB
DES,NTAP,STK,SMART,,,,,SLD|01/04/2012|3|-NRB|+NRB|-NRB
DES,ZUMZ,STK,SMART,,,,,BOT|01/05/2012|2|-NRB|+NRB|-NRB
DES,WDC,STK,SMART,,,,,BOT|01/05/2012|3|-NRB|+NRB|-NRB
DES,STX,STK,SMART,,,,,BOT|01/05/2012|3|-NRB|+NRB|-NRB
DES,MRVL,STK,SMART,,,,,BOT|01/05/2012|3|-NRB|+NRB|-NRB
DES,MON,STK,SMART,,,,,BOT|01/05/2012|3|-NRB|+NRB|-NRB
DES,AEO,STK,SMART,,,,,SLD|01/05/2012|3|-NRB|+NRB|-NRB
DES,PLCE,STK,SMART,,,,,SLD|01/05/2012|3|-NRB|+NRB|-NRB
DES,JCP,STK,SMART,,,,,SLD|01/05/2012|3|-NRB|+NRB|-NRB
DES,VLO,STK,SMART,,,,,SLD|01/05/2012|3|-NRB|+NRB|-NRB
DES,TSO,STK,SMART,,,,,SLD|01/05/2012|3|-NRB|+NRB|-NRB
DES,KITD,STK,SMART,,,,,BOT|01/06/2012|3|-NRB|-NRB|-NRB
DES,APOL,STK,SMART,,,,,BOT|01/06/2012|3|-NRB|-NRB|-NRB
DES,DNDN,STK,SMART,,,,,BOT|01/06/2012|3|-NRB|-NRB|-NRB
DES,BSX,STK,SMART,,,,,BOT|01/06/2012|3|-NRB|-NRB|-NRB
DES,VPHM,STK,SMART,,,,,BOT|01/06/2012|3|-NRB|-NRB|-NRB
DES,FDO,STK,SMART,,,,,SLD|01/06/2012|3|-NRB|-NRB|-NRB
DES,GPN,STK,SMART,,,,,SLD|01/06/2012|3|-NRB|-NRB|-NRB
DES,AA,STK,SMART,,,,,SLD|01/06/2012|3|-NRB|-NRB|-NRB
DES,CREE,STK,SMART,,,,,BOT|01/09/2012|3|+NRB|-NRB|+NRB
DES,NFLX,STK,SMART,,,,,BOT|01/09/2012|3|+NRB|-NRB|+NRB
DES,HGSI,STK,SMART,,,,,BOT|01/09/2012|3|+NRB|-NRB|+NRB
DES,DNDN,STK,SMART,,,,,BOT|01/09/2012|3|+NRB|-NRB|+NRB
DES,GSK,STK,SMART,,,,,SLD|01/09/2012|3|+NRB|-NRB|+NRB
DES,CRUS,STK,SMART,,,,,BOT|01/10/2012|3|+WRB|-NRB|+WRB
DES,AA,STK,SMART,,,,,BOT|01/10/2012|3|+WRB|-NRB|+WRB
DES,FCX,STK,SMART,,,,,BOT|01/10/2012|3|+WRB|-NRB|+WRB
DES,LULU,STK,SMART,,,,,BOT|01/10/2012|3|+WRB|-NRB|+WRB
DES,REGN,STK,SMART,,,,,BOT|01/10/2012|3|+WRB|-NRB|+WRB
DES,TIF,STK,SMART,,,,,SLD|01/10/2012|2|+WRB|-NRB|+WRB
DES,LIZ,STK,SMART,,,,,SLD|01/10/2012|3|+WRB|-NRB|+WRB
DES,HMA,STK,SMART,,,,,SLD|01/10/2012|3|+WRB|-NRB|+WRB
DES,PHH,STK,SMART,,,,,SLD|01/10/2012|3|+WRB|-NRB|+WRB
DES,ILMN,STK,SMART,,,,,SLD|01/10/2012|3|+WRB|-NRB|+WRB
DES,WBMD,STK,SMART,,,,,SLD|01/10/2012|3|+WRB|-NRB|+WRB
DES,CROX,STK,SMART,,,,,BOT|01/11/2012|3|+NRB|+NRB|-NRB
DES,YOKU,STK,SMART,,,,,BOT|01/11/2012|3|+NRB|+NRB|-NRB
