DES,SCTY,STK,SMART/ARCA,,,,,,|BOT|01/06/2014|3|+NRB|+NRB|-NRB
DES,TWTR,STK,SMART/ARCA,,,,,,|SLD|01/06/2014|3|+NRB|+NRB|-NRB
DES,FSLR,STK,SMART/ARCA,,,,,,|SLD|01/06/2014|3|+NRB|+NRB|-NRB
DES,SONC,STK,SMART/ARCA,,,,,,|BOT|01/07/2014|3|+NRB|+NRB|+NRB
DES,IHS,STK,SMART/ARCA,,,,,,|BOT|01/07/2014|3|+NRB|+NRB|+NRB
DES,PANW,STK,SMART/ARCA,,,,,,|BOT|01/07/2014|3|+NRB|+NRB|+NRB
DES,CMC,STK,SMART/ARCA,,,,,,|BOT|01/07/2014|3|+NRB|+NRB|+NRB
DES,NFLX,STK,SMART/ARCA,,,,,,|SLD|01/07/2014|3|+NRB|+NRB|+NRB
DES,MU,STK,SMART/ARCA,,,,,,|BOT|01/08/2014|3|-NRB|+NRB|+NRB
DES,APOL,STK,SMART/ARCA,,,,,,|BOT|01/08/2014|3|-NRB|+NRB|+NRB
DES,STZ,STK,SMART/ARCA,,,,,,|BOT|01/08/2014|3|-NRB|+NRB|+NRB
DES,FRX,STK,SMART/ARCA,,,,,,|BOT|01/08/2014|3|-NRB|+NRB|+NRB
DES,TCS,STK,SMART/ARCA,,,,,,|SLD|01/08/2014|3|-NRB|+NRB|+NRB
DES,AMBA,STK,SMART/ARCA,,,,,,|SLD|01/08/2014|3|-NRB|+NRB|+NRB
DES,JCP,STK,SMART/ARCA,,,,,,|SLD|01/08/2014|3|-NRB|+NRB|+NRB
DES,M,STK,SMART/ARCA,,,,,,|BOT|01/09/2014|3|+NRB|+NRB|-NRB
DES,COST,STK,SMART/ARCA,,,,,,|BOT|01/09/2014|3|+NRB|+NRB|-NRB
DES,ITMN,STK,SMART/ARCA,,,,,,|BOT|01/09/2014|3|+NRB|+NRB|-NRB
DES,FRO,STK,SMART/ARCA,,,,,,|BOT|01/09/2014|3|+NRB|+NRB|-NRB
DES,FDO,STK,SMART/ARCA,,,,,,|SLD|01/09/2014|3|+NRB|+NRB|-NRB
DES,BBBY,STK,SMART/ARCA,,,,,,|SLD|01/09/2014|3|+NRB|+NRB|-NRB
DES,PIR,STK,SMART/ARCA,,,,,,|SLD|01/09/2014|3|+NRB|+NRB|-NRB
DES,YRCW,STK,SMART/ARCA,,,,,,|SLD|01/09/2014|3|+NRB|+NRB|-NRB
DES,PLUG,STK,SMART/ARCA,,,,,,|SLD|01/09/2014|3|+NRB|+NRB|-NRB
DES,ANF,STK,SMART/ARCA,,,,,,|BOT|01/10/2014|3|+NRB|+NRB|+NRB
DES,FRAN,STK,SMART/ARCA,,,,,,|BOT|01/10/2014|3|+NRB|+NRB|+NRB
DES,AA,STK,SMART/ARCA,,,,,,|SLD|01/10/2014|3|+NRB|+NRB|+NRB
DES,SHLD,STK,SMART/ARCA,,,,,,|SLD|01/10/2014|3|+NRB|+NRB|+NRB
DES,FIVE,STK,SMART/ARCA,,,,,,|SLD|01/10/2014|3|+NRB|+NRB|+NRB
DES,CHTP,STK,SMART/ARCA,,,,,,|SLD|01/10/2014|3|+NRB|+NRB|+NRB
DES,JNPR,STK,SMART/ARCA,,,,,,|BOT|01/13/2014|3|-NRB|+NRB|-WRB
DES,LULU,STK,SMART/ARCA,,,,,,|SLD|01/13/2014|3|-NRB|+NRB|-WRB
DES,SODA,STK,SMART/ARCA,,,,,,|SLD|01/13/2014|3|-NRB|+NRB|-WRB
DES,ASNA,STK,SMART/ARCA,,,,,,|SLD|01/13/2014|3|-NRB|+NRB|-WRB
DES,ISRG,STK,SMART/ARCA,,,,,,|BOT|01/14/2014|3|+NRB|+NRB|+WRB
DES,INTC,STK,SMART/ARCA,,,,,,|BOT|01/14/2014|3|+NRB|+NRB|+WRB
DES,GME,STK,SMART/ARCA,,,,,,|SLD|01/14/2014|3|+NRB|+NRB|+WRB
DES,KBR,STK,SMART/ARCA,,,,,,|SLD|01/14/2014|3|+NRB|+NRB|+WRB
DES,CHTP,STK,SMART/ARCA,,,,,,|BOT|01/15/2014|3|+NRB|+NRB|+NRB
DES,BAC,STK,SMART/ARCA,,,,,,|BOT|01/15/2014|3|+NRB|+NRB|+NRB
DES,XONE,STK,SMART/ARCA,,,,,,|SLD|01/15/2014|3|+NRB|+NRB|+NRB
DES,SRPT,STK,SMART/ARCA,,,,,,|BOT|01/16/2014|3|-NRB|+NRB|+NRB
DES,HPQ,STK,SMART/ARCA,,,,,,|BOT|01/16/2014|3|-NRB|+NRB|+NRB
DES,PNC,STK,SMART/ARCA,,,,,,|BOT|01/16/2014|3|-NRB|+NRB|+NRB
DES,C,STK,SMART/ARCA,,,,,,|SLD|01/16/2014|3|-NRB|+NRB|+NRB
DES,CSX,STK,SMART/ARCA,,,,,,|SLD|01/16/2014|3|-NRB|+NRB|+NRB
DES,BBY,STK,SMART/ARCA,,,,,,|SLD|01/16/2014|3|-NRB|+NRB|+NRB
DES,JCP,STK,SMART/ARCA,,,,,,|SLD|01/16/2014|3|-NRB|+NRB|+NRB
DES,NUS,STK,SMART/ARCA,,,,,,|SLD|01/16/2014|3|-NRB|+NRB|+NRB
DES,SWKS,STK,SMART/ARCA,,,,,,|BOT|01/17/2014|3|-NRB|+NRB|+NRB
DES,NIHD,STK,SMART/ARCA,,,,,,|BOT|01/17/2014|3|-NRB|+NRB|+NRB
DES,AXP,STK,SMART/ARCA,,,,,,|BOT|01/17/2014|3|-NRB|+NRB|+NRB
DES,ILMN,STK,SMART/ARCA,,,,,,|BOT|01/17/2014|3|-NRB|+NRB|+NRB
DES,UPS,STK,SMART/ARCA,,,,,,|SLD|01/17/2014|3|-NRB|+NRB|+NRB
DES,COF,STK,SMART/ARCA,,,,,,|SLD|01/17/2014|3|-NRB|+NRB|+NRB
DES,PBCT,STK,SMART/ARCA,,,,,,|SLD|01/17/2014|3|-NRB|+NRB|+NRB
DES,SLM,STK,SMART/ARCA,,,,,,|SLD|01/17/2014|3|-NRB|+NRB|+NRB
DES,INTC,STK,SMART/ARCA,,,,,,|SLD|01/17/2014|3|-NRB|+NRB|+NRB



