DES,CXO,STK,SMART/ARCA,,,,,,||02/15/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/15/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/15/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/15/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/15/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/15/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/16/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/17/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/18/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/19/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/22/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/23/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/24/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/25/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/26/2016|
